state,date,cases,deaths,RR,hosp,boost,missing_hosp
Alabama,2021-12-02,2470,42,0.6835054160854371,289,64458,FALSE
Alabama,2021-12-09,3581,46,0.6835054160854371,273,90281,FALSE
Alabama,2021-12-16,5047,117,0.6835054160854371,327,68227,FALSE
Alabama,2021-12-23,7478,82,0.6835054160854371,397,68523,FALSE
Alabama,2021-12-30,25393,53,0.6835054160854371,713,59572,FALSE
Alabama,2022-01-06,56313,88,0.6835054160854371,1445,57702,FALSE
Alabama,2022-01-13,59746,98,0.6835054160854371,2113,61446,FALSE
Alabama,2022-01-20,99734,151,0.6835054160854371,2495,79881,FALSE
Alabama,2022-01-27,57573,122,0.6835054160854371,2735,82437,FALSE
Alabama,2022-02-03,76151,389,0.6835054160854371,2463,28441,FALSE
Alabama,2022-02-10,27445,287,0.6835054160854371,1708,22129,FALSE
Alabama,2022-02-17,13270,285,0.6835054160854371,1112,22142,FALSE
Alabama,2022-02-24,6565,315,0.6835054160854371,680,15904,FALSE
Alabama,2022-03-03,5792,305,0.6835054160854371,467,14238,FALSE
Alabama,2022-03-10,6082,359,0.6835054160854371,338,10827,FALSE
Alabama,2022-03-17,2238,232,0.6835054160854371,215,9472,FALSE
Alabama,2022-03-24,1652,175,0.6835054160854371,128,7567,FALSE
Alabama,2022-03-31,2983,117,0.6835054160854371,100,9014,FALSE
Alabama,2022-04-07,1231,84,0.6835054160854371,108,10504,FALSE
Alabama,2022-04-14,1091,101,0.6835054160854371,74,9682,FALSE
Alabama,2022-04-21,1595,54,0.6835054160854371,93,14098,FALSE
Alabama,2022-04-28,1631,32,0.6835054160854371,123,7185,FALSE
Alabama,2022-05-05,1644,32,0.6835054160854371,80,7532,FALSE
Alabama,2022-05-12,2136,30,0.6835054160854371,108,6918,FALSE
Alabama,2022-05-19,3000,18,0.6835054160854371,148,7794,FALSE
Alabama,2022-05-26,4090,10,0.6835054160854371,151,8123,FALSE
Alabama,2022-06-02,5648,13,0.6835054160854371,239,6931,FALSE
Alabama,2022-06-09,7149,20,0.6835054160854371,283,7494,FALSE
Alabama,2022-06-16,8959,12,0.6835054160854371,304,6729,FALSE
Alabama,2022-06-23,11096,27,0.6835054160854371,429,5082,FALSE
Alabama,2022-06-30,13033,32,0.6835054160854371,551,16574,FALSE
Alabama,2022-07-07,13526,26,0.6835054160854371,596,5633,FALSE
Alabama,2022-07-14,16937,40,0.6835054160854371,682,7663,FALSE
Alabama,2022-07-21,17081,38,0.6835054160854371,810,10381,FALSE
Alabama,2022-07-28,16950,31,0.6835054160854371,780,10573,FALSE
Alabama,2022-08-04,14698,84,0.6835054160854371,699,8761,FALSE
Alabama,2022-08-11,13354,52,0.6835054160854371,728,7949,FALSE
Alabama,2022-08-18,14121,15,0.6835054160854371,674,6061,FALSE
Alabama,2022-08-25,15672,7,0.6835054160854371,601,5058,FALSE
Alabama,2022-09-01,14695,112,0.6835054160854371,563,4685,FALSE
Alabama,2022-09-08,9880,79,0.6835054160854371,556,3313,FALSE
Alabama,2022-09-15,7954,83,0.6835054160854371,430,4076,FALSE
Alabama,2022-09-22,5770,73,0.6835054160854371,302,4819,FALSE
Alabama,2022-09-29,4231,27,0.6835054160854371,253,5226,FALSE
Alabama,2022-10-06,3589,51,0.6835054160854371,232,6169,FALSE
Alabama,2022-10-13,3015,32,0.6835054160854371,208,5325,FALSE
Alabama,2022-10-20,2566,28,0.6835054160854371,217,5890,FALSE
Alabama,2022-10-27,2982,25,0.6835054160854371,236,6111,FALSE
Alabama,2022-11-03,0,0,0.6835054160854371,183,6882,FALSE
Alabama,2022-11-10,6042,50,0.6835054160854371,188,5627,FALSE
Alabama,2022-11-17,1898,9,0.6835054160854371,204,4635,FALSE
Alabama,2022-11-24,2872,14,0.6835054160854371,199,4633,FALSE
Alabama,2022-12-01,4186,21,0.6835054160854371,328,22515,FALSE
Alabama,2022-12-08,5807,30,0.6835054160854371,358,4030,FALSE
Alabama,2022-12-15,6465,22,0.6835054160854371,378,4616,FALSE
Alabama,2022-12-22,7377,33,0.6835054160854371,403,4059,FALSE
Alabama,2022-12-29,0,0,0.6835054160854371,544,3328,FALSE
Alabama,2023-01-05,18290,39,0.6835054160854371,628,2297,FALSE
Alabama,2023-01-12,8925,44,0.6835054160854371,485,3156,FALSE
Alabama,2023-01-19,6742,26,0.6835054160854371,399,3034,FALSE
Alabama,2023-01-26,7644,24,0.6835054160854371,372,2390,FALSE
Alabama,2023-02-02,7315,12,0.6835054160854371,319,2439,FALSE
Alabama,2023-02-09,9820,10,0.6835054160854371,351,1660,FALSE
Alabama,2023-02-16,6073,7,0.6835054160854371,370,1650,FALSE
Alabama,2023-02-23,4605,33,0.6835054160854371,273,1272,FALSE
Alabama,2023-03-02,3714,0,0.6835054160854371,252,1371,FALSE
Alabama,2023-03-09,2471,0,0.6835054160854371,171,1196,FALSE
Alabama,2023-03-16,1890,0,0.6835054160854371,129,1319,FALSE
Alaska,2021-12-02,2206,13,0.5572240408805803,41,15407,FALSE
Alaska,2021-12-09,1310,3,0.5572240408805803,41,16309,FALSE
Alaska,2021-12-16,1255,3,0.5572240408805803,25,12795,FALSE
Alaska,2021-12-23,1062,87,0.5572240408805803,36,11543,FALSE
Alaska,2021-12-30,1875,2,0.5572240408805803,32,8029,FALSE
Alaska,2022-01-06,4509,1,0.5572240408805803,43,7664,FALSE
Alaska,2022-01-13,11461,6,0.5572240408805803,67,10353,FALSE
Alaska,2022-01-20,15673,66,0.5572240408805803,83,18288,FALSE
Alaska,2022-01-27,17692,30,0.5572240408805803,110,7399,FALSE
Alaska,2022-02-03,14573,12,0.5572240408805803,83,10038,FALSE
Alaska,2022-02-10,9158,21,0.5572240408805803,86,3316,FALSE
Alaska,2022-02-17,4575,27,0.5572240408805803,56,4643,FALSE
Alaska,2022-02-24,2944,22,0.5572240408805803,53,2942,FALSE
Alaska,2022-03-03,2331,28,0.5572240408805803,34,2188,FALSE
Alaska,2022-03-10,2657,10,0.5572240408805803,24,6349,FALSE
Alaska,2022-03-17,1644,1,0.5572240408805803,19,1370,FALSE
Alaska,2022-03-24,1446,20,0.5572240408805803,28,2860,FALSE
Alaska,2022-03-31,1379,6,0.5572240408805803,23,2098,FALSE
Alaska,2022-04-07,1464,0,0.5572240408805803,15,2931,FALSE
Alaska,2022-04-14,1303,7,0.5572240408805803,16,1769,FALSE
Alaska,2022-04-21,1528,13,0.5572240408805803,17,2511,FALSE
Alaska,2022-04-28,1496,4,0.5572240408805803,27,1699,FALSE
Alaska,2022-05-05,1464,1,0.5572240408805803,26,1742,FALSE
Alaska,2022-05-12,1623,15,0.5572240408805803,41,2893,FALSE
Alaska,2022-05-19,1950,18,0.5572240408805803,21,754,FALSE
Alaska,2022-05-26,2020,0,0.5572240408805803,38,1741,FALSE
Alaska,2022-06-02,2012,0,0.5572240408805803,64,1594,FALSE
Alaska,2022-06-09,2485,0,0.5572240408805803,49,1484,FALSE
Alaska,2022-06-16,2175,0,0.5572240408805803,40,1201,FALSE
Alaska,2022-06-23,2580,0,0.5572240408805803,72,972,FALSE
Alaska,2022-06-30,3104,0,0.5572240408805803,67,8205,FALSE
Alaska,2022-07-07,2907,0,0.5572240408805803,67,1707,FALSE
Alaska,2022-07-14,2996,24,0.5572240408805803,58,2019,FALSE
Alaska,2022-07-21,2885,0,0.5572240408805803,69,1911,FALSE
Alaska,2022-07-28,2440,0,0.5572240408805803,80,1416,FALSE
Alaska,2022-08-04,3160,0,0.5572240408805803,71,1647,FALSE
Alaska,2022-08-11,2229,21,0.5572240408805803,61,1608,FALSE
Alaska,2022-08-18,1849,0,0.5572240408805803,80,151,FALSE
Alaska,2022-08-25,2195,8,0.5572240408805803,70,2623,FALSE
Alaska,2022-09-01,1422,0,0.5572240408805803,45,1211,FALSE
Alaska,2022-09-08,1098,0,0.5572240408805803,49,87,FALSE
Alaska,2022-09-15,1209,26,0.5572240408805803,42,1454,FALSE
Alaska,2022-09-22,757,0,0.5572240408805803,25,1260,FALSE
Alaska,2022-09-29,616,0,0.5572240408805803,22,1475,FALSE
Alaska,2022-10-06,691,29,0.5572240408805803,12,3038,FALSE
Alaska,2022-10-13,565,0,0.5572240408805803,32,1923,FALSE
Alaska,2022-10-20,356,0,0.5572240408805803,15,1638,FALSE
Alaska,2022-10-27,387,20,0.5572240408805803,14,1759,FALSE
Alaska,2022-11-03,367,0,0.5572240408805803,12,1879,FALSE
Alaska,2022-11-10,0,0,0.5572240408805803,22,1598,FALSE
Alaska,2022-11-17,390,23,0.5572240408805803,18,1570,FALSE
Alaska,2022-11-24,430,0,0.5572240408805803,25,1297,FALSE
Alaska,2022-12-01,398,0,0.5572240408805803,30,874,FALSE
Alaska,2022-12-08,496,0,0.5572240408805803,30,1164,FALSE
Alaska,2022-12-15,354,0,0.5572240408805803,29,939,FALSE
Alaska,2022-12-22,380,19,0.5572240408805803,18,876,FALSE
Alaska,2022-12-29,333,0,0.5572240408805803,22,740,FALSE
Alaska,2023-01-05,371,0,0.5572240408805803,28,603,FALSE
Alaska,2023-01-12,469,0,0.5572240408805803,28,730,FALSE
Alaska,2023-01-19,649,0,0.5572240408805803,44,787,FALSE
Alaska,2023-01-26,654,18,0.5572240408805803,32,576,FALSE
Alaska,2023-02-02,793,0,0.5572240408805803,37,567,FALSE
Alaska,2023-02-09,692,0,0.5572240408805803,32,547,FALSE
Alaska,2023-02-16,786,0,0.5572240408805803,43,433,FALSE
Alaska,2023-02-23,776,13,0.5572240408805803,23,554,FALSE
Alaska,2023-03-02,451,0,0.5572240408805803,46,305,FALSE
Alaska,2023-03-09,582,0,0.5572240408805803,20,390,FALSE
Alaska,2023-03-16,448,0,0.5572240408805803,26,354,FALSE
Arizona,2021-12-02,21358,210,0.5624478170684519,1970,169259,FALSE
Arizona,2021-12-09,28305,471,0.5624478170684519,2040,178526,FALSE
Arizona,2021-12-16,21648,490,0.5624478170684519,1824,168729,FALSE
Arizona,2021-12-23,20497,497,0.5624478170684519,1749,155679,FALSE
Arizona,2021-12-30,20675,331,0.5624478170684519,1762,123051,FALSE
