code_state,name_states,household_size,household_income
1,Utah,3.09,"87,649"
2,California,2.94,"81,575"
3,Hawaii,2.94,"82,199"
4,Texas,2.83,"67,404"
5,Alaska,2.78,"81,133"
6,Georgia,2.68,"61,497"
7,Idaho,2.66,"76,918"
8,New Jersey,2.66,"88,559"
9,Arizona,2.65,"70,821"
10,Nevada,2.65,"64,340"
11,Maryland,2.64,"97,332"
12,Florida,2.62,"59,734"
13,Colorado,2.6,"84,954"
14,Virginia,2.6,"80,268"
15,Louisiana,2.59,"57,206"
16,Mississippi,2.59,"46,637"
17,New Mexico,2.59,"53,463"
18,Oklahoma,2.57,"60,096"
19,New York,2.55,"72,920"
20,Delaware,2.54,"68,687"
21,Illinois,2.54,"79,253"
22,Alabama,2.53,"56,929"
23,South Carolina,2.53,"62,542"
24,Washington,2.53,"87,648"
25,North Carolina,2.51,"62,891"
26,Tennessee,2.51,"62,166"
27,Arkansas,2.5,"50,784"
28,Connecticut,2.5,"80,958"
29,Indiana,2.5,"70,190"
30,Massachusetts,2.5,"86,566"
31,Oregon,2.49,"81,855"
32,Kansas,2.48,"75,979"
33,Kentucky,2.48,"55,629"
34,Minnesota,2.48,"80,441"
35,Michigan,2.45,"64,488"
36,Rhode Island,2.45,"74,982"
37,Missouri,2.44,"63,594"
38,Nebraska,2.44,"78,109"
39,New Hampshire,2.44,"88,841"
40,South Dakota,2.43,"73,893"
41,Wyoming,2.43,"71,052"
42,Pennsylvania,2.42,"72,627"
43,Ohio,2.41,"62,689"
44,Iowa,2.4,"72,429"
45,West Virginia,2.4,"46,836"
46,Wisconsin,2.38,"69,943"
47,Montana,2.37,"64,999"
48,District of Columbia,2.3,"90,640"
49,Maine,2.29,"71,139"
50,North Dakota,2.29,"68,882"
51,Vermont,2.28,"76,079"
