epiweek	name_states	voc_cdc	n	freq
2021-09-04	Alabama	Delta*	461	99.6
2021-09-04	Alabama	Other	2	0.4
2021-09-04	Alaska	Delta*	174	100
2021-09-04	Arizona	Delta*	672	99.6
2021-09-04	Arizona	Other	3	0.4
2021-09-04	Arkansas	Delta*	422	100
2021-09-04	California	Alpha*	4	0.1
2021-09-04	California	Delta*	4889	98.8
2021-09-04	California	Gamma*	5	0.1
2021-09-04	California	Other	52	1.1
2021-09-04	Colorado	Alpha*	1	0.1
2021-09-04	Colorado	Delta*	1776	99.2
2021-09-04	Colorado	Other	11	0.6
2021-09-04	Colorado	Recombinant	2	0.1
2021-09-04	Connecticut	Delta*	181	100
2021-09-04	Delaware	Delta*	145	100
2021-09-04	District of Columbia	Delta*	143	99.3
2021-09-04	District of Columbia	Other	1	0.7
2021-09-04	Florida	Alpha*	4	0.2
2021-09-04	Florida	Delta*	2037	98.9
2021-09-04	Florida	Gamma*	2	0.1
2021-09-04	Florida	Other	16	0.8
2021-09-04	Georgia	Delta*	1275	99.4
2021-09-04	Georgia	Gamma*	1	0.1
2021-09-04	Georgia	Other	7	0.5
2021-09-04	Hawaii	Alpha*	1	0.7
2021-09-04	Hawaii	Beta*	1	0.7
2021-09-04	Hawaii	Delta*	140	98.6
2021-09-04	Idaho	Delta*	248	100
2021-09-04	Illinois	Delta*	856	99.2
2021-09-04	Illinois	Other	7	0.8
2021-09-04	Indiana	Alpha*	1	0.1
2021-09-04	Indiana	Delta*	714	99.7
2021-09-04	Indiana	Other	1	0.1
2021-09-04	Iowa	Delta*	292	99.7
2021-09-04	Iowa	Other	1	0.3
2021-09-04	Kansas	Delta*	267	100
2021-09-04	Kentucky	Delta*	745	99.7
2021-09-04	Kentucky	Other	2	0.3
2021-09-04	Louisiana	Alpha*	2	0.5
2021-09-04	Louisiana	Delta*	375	99.5
2021-09-04	Maine	Delta*	145	98
2021-09-04	Maine	Gamma*	1	0.7
2021-09-04	Maine	Other	2	1.4
2021-09-04	Maryland	Delta*	712	99.9
2021-09-04	Maryland	Other	1	0.1
2021-09-04	Massachusetts	Delta*	1975	99.5
2021-09-04	Massachusetts	Gamma*	3	0.2
2021-09-04	Massachusetts	Other	6	0.3
2021-09-04	Michigan	Delta*	529	99.8
2021-09-04	Michigan	Other	1	0.2
2021-09-04	Minnesota	Delta*	1703	99.8
2021-09-04	Minnesota	Gamma*	1	0.1
2021-09-04	Minnesota	Other	3	0.2
2021-09-04	Mississippi	Delta*	314	100
2021-09-04	Missouri	Delta*	467	100
2021-09-04	Montana	Delta*	112	100
2021-09-04	Nebraska	Delta*	209	100
2021-09-04	Nevada	Delta*	525	99.8
2021-09-04	Nevada	Recombinant	1	0.2
2021-09-04	New Hampshire	Delta*	125	100
2021-09-04	New Jersey	Delta*	679	99.6
2021-09-04	New Jersey	Gamma*	1	0.1
2021-09-04	New Jersey	Other	1	0.1
2021-09-04	New Jersey	Recombinant	1	0.1
2021-09-04	New Mexico	Delta*	291	100
2021-09-04	New York	Alpha*	1	0.1
2021-09-04	New York	Delta*	1419	99.7
2021-09-04	New York	Other	3	0.2
2021-09-04	North Carolina	Alpha*	2	0.2
2021-09-04	North Carolina	Delta*	1111	99.6
2021-09-04	North Carolina	Other	3	0.3
2021-09-04	North Dakota	Delta*	106	100
2021-09-04	Ohio	Delta*	866	99.5
2021-09-04	Ohio	Other	4	0.5
2021-09-04	Oklahoma	Delta*	227	99.1
2021-09-04	Oklahoma	Other	2	0.9
2021-09-04	Oregon	Delta*	437	99.3
2021-09-04	Oregon	Gamma*	1	0.2
2021-09-04	Oregon	Other	2	0.5
2021-09-04	Pennsylvania	Delta*	477	100
2021-09-04	Rhode Island	Delta*	146	99.3
2021-09-04	Rhode Island	Gamma*	1	0.7
2021-09-04	South Carolina	Delta*	564	99.5
2021-09-04	South Carolina	Gamma*	1	0.2
2021-09-04	South Carolina	Other	2	0.4
2021-09-04	South Dakota	Delta*	114	100
2021-09-04	Tennessee	Delta*	1720	99.5
2021-09-04	Tennessee	Gamma*	1	0.1
2021-09-04	Tennessee	Other	8	0.5
2021-09-04	Texas	Alpha*	2	0.1
2021-09-04	Texas	Delta*	3220	99.4
2021-09-04	Texas	Gamma*	4	0.1
2021-09-04	Texas	Other	12	0.4
2021-09-04	Texas	Recombinant	1	0
2021-09-04	Utah	Delta*	941	99.7
2021-09-04	Utah	Other	2	0.2
2021-09-04	Utah	Recombinant	1	0.1
2021-09-04	Vermont	Delta*	231	100
2021-09-04	Virginia	Delta*	518	99.4
2021-09-04	Virginia	Gamma*	2	0.4
2021-09-04	Virginia	Other	1	0.2
2021-09-04	Washington	Delta*	1033	100
2021-09-04	West Virginia	Delta*	674	99.6
2021-09-04	West Virginia	Other	3	0.4
2021-09-04	Wisconsin	Delta*	620	99.8
2021-09-04	Wisconsin	Other	1	0.2
2021-09-04	Wyoming	Delta*	456	99.6
2021-09-04	Wyoming	Other	2	0.4
2021-09-11	Alabama	Alpha*	1	0.1
2021-09-11	Alabama	Delta*	731	99.3
2021-09-11	Alabama	Other	4	0.5
2021-09-11	Alaska	Delta*	460	99.6
2021-09-11	Alaska	Other	2	0.4
2021-09-11	Arizona	Delta*	1230	99
2021-09-11	Arizona	Other	12	1
2021-09-11	Arkansas	Delta*	494	99.8
2021-09-11	Arkansas	Other	1	0.2
2021-09-11	California	Alpha*	3	0
2021-09-11	California	Delta*	8987	97.7
2021-09-11	California	Gamma*	6	0.1
2021-09-11	California	Other	201	2.2
2021-09-11	California	Recombinant	5	0.1
2021-09-11	Colorado	Alpha*	1	0
2021-09-11	Colorado	Delta*	3154	99.1
2021-09-11	Colorado	Other	27	0.8
2021-09-11	Connecticut	Delta*	628	99.8
2021-09-11	Connecticut	Other	1	0.2
2021-09-11	Delaware	Delta*	326	99.4
2021-09-11	Delaware	Gamma*	2	0.6
2021-09-11	District of Columbia	Delta*	334	100
2021-09-11	Florida	Delta*	3559	99.2
2021-09-11	Florida	Gamma*	4	0.1
2021-09-11	Florida	Other	26	0.7
2021-09-11	Georgia	Delta*	2011	99.8
2021-09-11	Georgia	Other	5	0.2
2021-09-11	Hawaii	Delta*	180	100
2021-09-11	Idaho	Delta*	511	100
2021-09-11	Illinois	Delta*	1744	99.3
2021-09-11	Illinois	Gamma*	1	0.1
2021-09-11	Illinois	Other	11	0.6
2021-09-11	Indiana	Delta*	1118	99.6
2021-09-11	Indiana	Other	4	0.4
2021-09-11	Iowa	Delta*	539	99.3
2021-09-11	Iowa	Other	4	0.7
2021-09-11	Kansas	Delta*	490	99.8
2021-09-11	Kansas	Other	1	0.2
2021-09-11	Kentucky	Delta*	1053	99.9
2021-09-11	Kentucky	Other	1	0.1
2021-09-11	Louisiana	Alpha*	2	0.4
2021-09-11	Louisiana	Delta*	515	99.4
2021-09-11	Louisiana	Other	1	0.2
2021-09-11	Maine	Delta*	270	100
2021-09-11	Maryland	Delta*	1296	99.7
2021-09-11	Maryland	Gamma*	3	0.2
2021-09-11	Maryland	Other	1	0.1
2021-09-11	Massachusetts	Delta*	3504	99.8
2021-09-11	Massachusetts	Gamma*	2	0.1
2021-09-11	Massachusetts	Other	4	0.1
2021-09-11	Massachusetts	Recombinant	1	0
